16 392205
75 1094890
39 1517928
82 582237
29 334249
87 676876
52 379551
84 526186
24 295253
4 196150
91 899109
28 298348
90 834969
8 169032
27 304774
12 151876
15 342166
36 1162401
81 681984
70 359027
69 222579
25 245621
62 147811
2 176151
58 338407
64 99565
50 420739
1 94894
18 467901
53 417818
23 294946
57 406095
68 286510
73 886464
5 205165
79 852294
30 387634
26 280977
22 315788
65 80627
46 857250
60 233350
59 292324
11 149780
7 182246
43 1589955
38 1468482
49 465751
86 557180
47 670572
77 1022570
17 466267
76 1144251
44 1265861
89 751017
67 97037
3 219172
42 1667151
21 362662
19 431250
54 449960
66 87637
78 1037454
33 790094
80 755688
83 508543
61 181609
71 547086
34 1004845
6 198436
72 743056
10 146436
9 166325
